group,conv1_cn,conv1_ks,conv2_cn,conv2_ks,conv3_cn,conv3_ks,conv4_cn,conv4_ks,fc1_in,fc1_out,fc2_out,fc3_out,epoch1,epoch2,epoch3,epoch4,epoch5,final,time
1,8,3,16,3,32,3,64,3,5184,256,128,7,43,48,50,53,53,53,175.05073475837708
2,8,3,32,3,64,3,128,3,10368,512,256,7,43,46,53,55,54,54,187.38461184501648
3,32,3,64,3,128,3,256,3,20736,1024,512,7,45,52,53,57,56,56,203.07316994667053
4,32,3,128,3,256,3,512,3,41472,4096,1024,7,47,52,57,56,57,57,352.6554288864136
5,128,3,256,3,512,3,1024,3,82944,8192,4096,7,49,54,55,57,57,57,1115.5541620254517
6,64,3,128,3,256,3,512,3,41472,8192,2048,7,47,51,57,55,57,57,596.3979625701904
