group,conv1_cn,conv2_cn,fc1_in,fc1_out,fc2_out,epoch1,epoch2,epoch3,epoch4,epoch5,epoch6,epoch7,final,time
1,2,8,648,162,40,37,39,42,43,43,44,43,43,204.61358499526978
2,4,16,1296,216,36,38,43,44,45,46,46,44,44,199.09999132156372
3,8,32,2592,648,162,44,47,50,51,51,51,52,52,212.77883338928223
4,16,64,5184,1296,324,42,49,51,51,50,53,51,51,234.93871521949768
5,32,128,10368,1296,162,45,49,52,53,54,53,52,52,302.4481656551361
6,64,256,20736,2592,324,43,45,52,54,54,52,55,55,777.9304962158203
7,128,512,41472,5184,648,45,49,52,51,56,55,56,56,2776.839529275894
8,128,256,20736,2592,324,42,47,49,52,53,53,51,51,844.5406305789948
9,64,256,20736,5184,648,46,43,54,52,54,53,55,55,1406.5907895565033
