group,conv1_cn,conv2_cn,fc1_in,fc1_out,fc2_out,epoch1_train,epoch1_test,epoch2_train,epoch2_test,epoch3_train,epoch3_test,epoch4_train,epoch4_test,epoch5_train,epoch5_test,epoch6_train,epoch6_test,epoch7_train,epoch7_test,final,time
1,2,4,324,81,20,37,36,38,36,41,39,45,42,46,41,46,41,49,43,43,195.2273371219635
2,4,16,1296,324,81,41,39,43,40,53,45,58,47,64,47,69,46,73,47,47,188.59860181808472
3,8,32,2592,648,162,46,43,51,45,60,49,70,50,79,51,84,50,90,51,51,197.93839621543884
4,16,64,5184,1296,324,49,45,56,49,68,51,77,49,88,53,93,53,94,52,52,208.16626477241516
5,32,128,10368,2592,648,46,43,57,49,65,49,82,53,90,53,94,54,96,54,54,235.4013512134552
6,64,256,20736,5184,1296,48,45,57,48,76,54,86,52,92,54,96,54,98,55,55,347.16822028160095
7,128,512,41472,10368,2592,43,42,53,47,58,45,77,53,91,54,94,53,97,54,54,996.809561252594
