group,conv1_cn,conv2_cn,conv3_cn,conv4_cn,fc1_in,fc1_out,fc2_out,epoch1_train,epoch1_test,epoch2_train,epoch2_test,epoch3_train,epoch3_test,epoch4_train,epoch4_test,epoch5_train,epoch5_test,epoch6_train,epoch6_test,epoch7_train,epoch7_test,final,time
1,2,4,8,16,1296,324,81,41,39,44,41,51,46,55,46,63,47,67,47,72,47,47,228.399409532547
2,4,8,16,32,2592,648,162,41,39,45,41,58,49,63,46,72,50,83,50,86,49,49,240.1282081604004
3,8,16,32,64,5184,1296,324,44,43,53,48,62,51,74,53,86,53,88,53,94,51,51,249.98896837234497
4,16,32,64,128,10368,2592,648,48,46,57,50,67,51,84,53,91,55,94,54,97,54,54,284.9951651096344
5,32,64,128,256,20736,5184,1296,48,46,59,53,71,54,88,56,93,55,96,56,98,58,58,380.0236039161682
6,64,128,256,512,41472,10368,2592,53,50,57,49,78,58,92,59,94,54,96,57,99,59,59,1016.5573532581329
